,Phrase,Count,PMI
4810,"('life', 'it')",119,2.6716655277834604
2130,"('because', 'it')",119,4.594884293295976
3482,"(',', 'but')",119,3.4947231537454257
4878,"('and', 'resources')",119,2.6319454232648773
1416,"('i', 'had')",119,5.457888339841894
1651,"('allowing', 'students')",119,5.1477241602648895
1446,"('clear', 'that')",119,5.409577143195563
2423,"('a', 'strong')",119,4.328194752234069
3222,"('the', 'idea')",119,3.697452679487551
4824,"('family', 'and')",118,2.6643477377159357
5205,"(',', 'they')",118,2.446256179682887
4576,"('of', 'others')",118,2.8128953906997403
8366,"('the', ',')",118,-0.9520941906630753
2202,"('compared', 'to')",118,4.532758583783643
758,"('i', 'believe')",118,6.725136992268617
2211,"('with', 'others')",117,4.521127477687575
1558,"('a', 'lot')",117,5.266588710092066
3931,"('confidence', 'and')",116,3.1918243372313384
2458,"('would', 'have')",116,4.292306323959043
2781,"('opportunities', 'for')",116,4.028892373964226
5196,"('around', 'the')",116,2.4530871891569035
4082,"('growth', 'and')",115,3.105996781106409
6899,"('and', 'take')",115,1.3161732527332184
8385,"('and', 'be')",115,-1.0229256672422977
3884,"('a', 'long')",115,3.2174664952063594
4736,"('and', 'teachers')",115,2.717489912538074
2437,"('outside', 'of')",115,4.314269320013146
5067,"('over', 'the')",114,2.5205454514288803
7609,"('has', 'the')",114,0.6339084651434312
5896,"('students', 'have')",114,2.038844069170345
2656,"('are', 'often')",114,4.130584682665177
60,"('(', ')')",114,10.6895267997054
5762,"('and', 'even')",114,2.1231440877208243
4468,"('ways', 'to')",113,2.8814275416599173
1772,"('type', 'of')",113,5.01077160041762
5832,"('and', 'learn')",113,2.0870086904599425
6397,"('taking', 'the')",112,1.7226394290243405
3032,"('the', 'pros')",112,3.8410341298265713
6673,"('all', 'the')",112,1.5024971173837685
1790,"('day', 'school')",112,4.991495689083251
5753,"('the', 'first')",112,2.1301189680269133
3990,"('activities', 'that')",112,3.1535146979694773
124,"('long', 'term')",112,9.74973909675482
6355,"('the', 'use')",111,1.7504922559950984
4195,"('key', 'to')",111,3.0383177518800686
6669,"('and', 'provide')",111,1.5040075766186582
7819,"('of', 'an')",111,0.34935805613595505
1065,"('seen', 'as')",111,6.030598820601011
1913,"('a', 'combination')",111,4.854114385758447
1708,"('is', 'clear')",110,5.076509338716267
4692,"('which', 'is')",110,2.743890165370651
7174,"('school', 'in')",110,1.0987181858239303
5837,"('opportunities', 'to')",110,2.0862773737362517
1711,"('if', 'we')",110,5.075496354551031
2228,"('a', 'powerful')",109,4.500156904759791
5893,"('with', 'an')",109,2.043636931329047
2417,"('this', 'could')",109,4.336845159614526
920,"('younger', 'students')",109,6.322819202275575
4077,"('technology', 'can')",109,3.107597886650364
1537,"('do', 'not')",109,5.29027223187266
3241,"('can', 'create')",109,3.681373313402986
4404,"('the', 'necessary')",109,2.9163919205722806
3844,"('it', 'would')",108,3.248737758317553
2969,"('provide', 'students')",108,3.8834370534834655
2743,"('are', 'some')",108,4.057107093476972
7052,"('having', 'the')",107,1.1952546829963815
4466,"('can', 'often')",107,2.8826310898998173
3200,"('difficult', 'for')",107,3.714261436085348
860,"('allows', 'us')",107,6.456276541964396
6689,"('such', 'a')",107,1.4850586496508456
